Date,Open,Higt,Low,Close,Volume,RSI,RSISignal,CCI,CCISignal,UpDI,DownDI,ADX,PDI,MDI,WilliamsR,WilliamsD,MACD,MACDSignal,MACDOscillator,Close5ma,Close10ma,Close20ma,Close60ma,INDNB,INSNB,FNB,Call,EX,SSR
2013-01-02,102012,103981,101618,103587,153489,0.5071,0.4672,26.5,-45.32,21.97,23.7,0.361,0.2197,0.237,-0.2436,-0.3588,-317.92,-310.89,-7.04,103.47,102.95,101.38,101.41,-33991,32659,-428,2.77,1063.5,14.52
2013-01-03,104769,105557,102800,104375,149239,0.5162,0.477,52.85,-25.69,25.92,21.05,0.3267,0.2592,0.2105,-0.1859,-0.2724,-41.1,-256.93,215.83,102.47,103.79,102.01,102.3,-39695,29549,9734,2.77,1061.5,13.03
2013-01-04,104769,105557,102800,104375,86315,0.4864,0.4789,54.87,-9.57,22.95,18.64,0.297,0.2295,0.1864,-0.1859,-0.2292,176.25,-170.29,346.54,101.22,103.8,101.96,102.42,-26750,12552,12598,2.76,1063.6,12.89
2013-01-07,104375,105163,103587,104375,29792,0.4864,0.4804,61.91,4.72,21.34,17.33,0.2712,0.2134,0.1733,-0.1859,-0.2075,344.53,-67.33,411.86,100.68,103.24,101.89,102.48,-6548,1264,5477,2.76,1063.7,12.39
2013-01-08,103587,104769,102406,103981,46722,0.4549,0.4753,51.59,14.1,19.03,20.86,0.2412,0.1903,0.2086,-0.191,-0.1993,441.01,34.34,406.67,99.85,102.33,101.47,102.1,-14873,-2029,18441,2.76,1063,11.47
2013-01-09,104375,104375,102800,103981,44684,0.4748,0.4752,57.5,22.78,17.56,19.26,0.2152,0.1756,0.1926,-0.191,-0.1951,511.58,129.79,381.79,99.77,101.78,101.45,102.05,-11016,4170,6841,2.77,1061.7,7.1
2013-01-10,103981,106344,103587,105163,124549,0.5172,0.4836,93.05,36.83,24.81,16.67,0.2127,0.2481,0.1667,-0.0902,-0.1427,655.33,234.9,420.43,100.75,101.99,102.51,103.17,-21235,-11955,33190,2.76,1060.4,2.99
2013-01-11,106738,106738,103193,104375,39209,0.6923,0.5254,74.38,44.34,20.68,13.9,0.2105,0.2068,0.139,-0.1752,-0.1589,697.63,327.44,370.18,100,100.61,101.71,102.34,1858,11609,-9552,2.76,1054.7,15.2
2013-01-14,103587,106344,103193,105163,61970,0.7084,0.562,69.53,49.38,17.67,11.87,0.2086,0.1767,0.1187,-0.1168,-0.1378,785.67,419.09,366.59,100.6,101.02,102.47,103.09,-7100,20009,-11909,2.75,1056.1,7.3
2013-01-15,104375,105557,101224,101618,77597,0.5862,0.5668,7.3,40.96,14.35,18.18,0.1964,0.1435,0.1818,-0.3796,-0.2587,562.91,447.85,115.06,97.65,97.62,99.17,99.67,-5704,28711,-23139,2.76,1056.5,19.06
