일자,시가,고가,저가,종가,Close5ma,Close10ma,Close20ma,Close60ma,거래량,RSI,CCI,ADX,WilliamsR,UpDI,DownDI,Net Institutional Buying,외국인 순매수
2023-05-30,"71,300","72,300","71,200","72,300",103.79,106.04,108.55,112.73,"25,292,152",83.65%,150.87,43.56%,0.00%,53.31,7.16,"-891,244","6,177,903"
2023-05-26,"69,800","70,400","69,500","70,300",102.03,104.3,106.16,109.94,"19,549,511",74.44%,124.38,38.53%,-1.47%,42.53,9.02,"-1,128,616","7,673,331"
2023-05-25,"69,900","70,000","68,700","68,800",100.41,103.02,104.38,107.87,"14,231,160",72.29%,121.03,34.45%,-18.75%,46.36,10.99,"-725,012","1,091,489"
2023-05-24,"68,100","68,700","68,000","68,500",100.74,103.29,104.34,107.63,"8,192,896",68.67%,119.09,30.26%,-9.26%,37.65,13.36,"-620,835","1,369,290"
2023-05-23,"68,500","68,700","68,100","68,400",101.63,103.75,104.45,107.68,"8,561,643",65.88%,153.77,27.59%,-11.11%,41.26,13.27,"1,082,890","-540,874"
2023-05-22,"68,400","69,000","68,000","68,500",102.7,104.39,104.82,108.02,"14,470,308",67.44%,219.49,23.94%,-9.26%,44.41,14.29,"2,428,859","38,221"
2023-05-19,"67,800","68,400","67,500","68,400",103.79,104.65,104.92,108.07,"20,349,345",70.21%,291.28,19.73%,0.00%,42.48,16.06,"2,843,195","7,736,403"
2023-05-18,"66,000","66,200","65,700","66,200",101.78,101.8,101.78,104.77,"14,431,704",63.64%,118.37,15.82%,-3.33%,24.61,21.05,"-973,556","5,475,838"
2023-05-17,"65,900","65,900","64,800","65,000",100.56,100.08,99.98,102.96,"10,745,504",60.00%,31.38,17.06%,-43.33%,24.55,24.67,"-33,694","-473,164"
2023-05-16,"65,800","65,900","65,300","65,400",101.3,100.58,100.57,103.66,"12,334,657",51.22%,71.45,19.64%,-30.00%,28.43,21.38,"56,097","3,222,828"
2023-05-15,"64,100","64,600","63,900","64,500",99.94,99.18,99.21,102.28,"8,172,021",42.31%,-62.26,20.49%,-60.00%,14.8,25.91,"191,469","287,549"
2023-05-12,"63,700","64,600","63,600","64,100",98.89,98.55,98.47,101.71,"8,693,913",42.31%,-99.45,19.44%,-73.33%,16.29,28.52,"-298,141","244,842"
2023-05-11,"64,700","65,100","64,200","64,200",98.74,98.71,98.48,101.89,"11,648,905",41.77%,-70.52,18.23%,-70.00%,18.62,24.03,"198,660","-775,095"
2023-05-10,"65,500","65,500","64,300","64,600",98.99,99.42,98.97,102.56,"13,057,727",43.42%,-43.15,19.09%,-56.67%,20.96,25.65,"-857,650","-653,034"
2023-05-09,"65,800","65,800","65,100","65,300",99.73,100.4,99.95,103.72,"9,366,861",50.00%,35.1,20.47%,-33.33%,24.51,18.7,"209,493","-447,228"
2023-05-08,"66,300","66,300","65,400","65,900",100.58,101.26,100.9,104.74,"9,405,365",55.88%,106.51,21.55%,-13.33%,27.17,16.66,"1,559,418","1,131,933"
2023-05-04,"65,600","65,700","64,700","65,100",99.75,100.12,99.95,103.54,"9,791,064",42.86%,6.84,21.18%,-45.45%,23.42,19.39,"-1,477,647","1,338,816"
2023-05-03,"65,100","65,600","64,900","65,400",100.52,100.52,100.5,104.11,"8,876,749",45.59%,18.26,22.99%,-36.36%,26.57,19.31,"-1,055,097","1,059,327"
2023-05-02,"66,000","66,300","65,100","65,700",101.55,100.95,101.1,104.69,"14,396,948",48.48%,66.39,24.10%,-27.27%,29.3,18.72,"525,392","1,168,280"
2023-04-28,"65,200","65,900","65,000","65,500",101.39,100.71,100.99,104.43,"19,699,481",48.48%,33.06,24.42%,-33.33%,28.68,21.62,"-1,207,549","3,942,641"
2023-04-27,"64,100","65,000","63,300","64,600",99.94,99.38,99.72,103.05,"14,779,601",46.88%,-122.41,26.01%,-60.61%,21.8,25.28,"-2,461,875","3,896,236"
2023-04-26,"63,600","64,300","63,300","64,100",98.95,98.39,99.06,102.33,"12,664,541",60.47%,-190.42,28.87%,-75.76%,17.19,31.3,"-976,399","1,448,400"
2023-04-25,"65,300","65,400","63,400","63,600",97.76,97.34,98.39,101.61,"16,193,271",48.45%,-118.57,28.84%,-69.77%,19.56,34.24,"-542,786","-709,846"
2023-04-24,"65,300","65,700","64,800","65,200",99.6,99.44,100.92,104.18,"12,986,581",59.52%,9.73,29.08%,-32.56%,25.72,22.99,"341,263","1,351,581"
2023-04-21,"65,800","65,900","65,400","65,700",100.34,100.12,101.94,104.99,"10,538,622",65.48%,55.75,32.69%,-20.93%,29.32,16.88,"-669,886","2,676,832"
2023-04-20,"65,100","65,300","64,600","65,300",99.91,99.62,101.53,104.4,"9,501,169",57.30%,16.21,33.58%,-30.23%,23.1,18.37,"-403,885","1,256,244"
2023-04-19,"65,500","65,800","65,300","65,500",99.97,100.38,102.08,104.77,"10,255,985",62.11%,53.15,36.99%,-25.58%,26.08,10.7,"-69,196","1,051,264"
2023-04-18,"65,900","66,000","64,800","65,600",99.97,100.78,102.59,105.04,"14,802,060",64.65%,56.16,36.25%,-23.26%,27.81,11.41,"-3,073,137","3,737,760"
2023-04-17,"65,000","65,600","64,700","65,300",99.42,100.63,102.54,104.67,"13,486,618",62.24%,48.32,35.39%,-29.55%,26.93,13.23,"-1,775,624","3,486,466"
2023-04-14,"66,600","66,600","65,000","65,100",99,100.66,102.64,104.49,"16,176,490",64.42%,78.42,35.58%,-33.33%,30.05,10.9,"595,476","-1,672,590"
2023-04-13,"65,600","66,100","65,400","66,100",100.55,102.39,104.53,106.21,"15,091,022",65.05%,111.93,33.86%,-4.65%,29.79,13.27,"1,097,667","14,124"
2023-04-12,"65,800","66,200","65,300","66,000",101.57,102.69,104.89,106.19,"15,021,313",66.97%,138.44,33.17%,-6.98%,32.47,14.46,"-1,535,917","3,448,750"
2023-04-11,"66,200","66,200","65,400","65,900",102.08,103.07,105.25,106.18,"16,323,183",70.00%,173.01,32.37%,-7.02%,36.08,14.84,"1,240,069","1,141,656"
2023-04-10,"64,800","66,300","64,700","65,700",102.5,103.24,105.51,106.01,"18,777,166",71.43%,185.87,30.93%,-10.34%,39.46,16.23,"-75,437","4,527,802"
2023-04-07,"63,800","65,200","63,800","65,000",102.23,102.72,104.86,105.03,"27,476,120",70.00%,148.07,29.27%,-3.92%,33.78,19.38,"1,749,750","13,538,409"
2023-04-06,"63,500","63,600","62,300","62,300",98.3,98.76,100.96,100.79,"14,992,747",54.81%,20.08,29.61%,-43.59%,24.4,27.87,"-1,835,759","-278,195"
2023-04-05,"63,700","64,000","63,400","63,900",100.53,101.3,103.73,103.42,"9,176,149",69.61%,93.96,33.14%,-2.56%,30.87,17.03,"-171,248","2,434,636"
2023-04-04,"63,400","63,800","62,800","63,600",100.44,101.27,103.55,103.07,"11,120,514",69.00%,79.41,33.79%,-8.16%,30.64,18.63,"297,976","1,867,482"
2023-04-03,"64,000","64,000","63,000","63,100",99.87,101.01,102.98,102.41,"11,973,133",69.90%,87.73,35.24%,-18.37%,35.47,18.42,"-1,550,689","939,595"
2023-03-31,"64,000","64,000","63,700","64,000",101.62,102.93,104.58,104.02,"14,094,479",69.23%,127.27,35.80%,0.00%,41.09,10.24,"413,497","4,995,822"
2023-03-30,"63,700","63,700","63,100","63,200",100.67,102.08,103.57,102.96,"15,684,377",68.32%,121.72,32.06%,-10.64%,41.53,11.51,"-416,494","3,362,650"
2023-03-29,"62,500","62,700","62,200","62,700",100.16,101.82,102.96,102.36,"11,216,008",62.75%,99.04,28.28%,-13.95%,32.51,13.28,"1,116,677","-627,692"
2023-03-28,"62,400","62,900","62,100","62,900",101,102.63,103.46,102.9,"11,614,118",62.75%,125.74,26.18%,-9.30%,35.87,14.66,"1,780,041","-15,725"
2023-03-27,"62,600","62,800","62,000","62,100",100.55,101.97,102.35,101.76,"11,039,331",57.14%,134.38,23.75%,-27.91%,38.53,16.33,"405,924","-48,035"
2023-03-24,"62,700","63,300","62,300","63,000",102.64,103.81,103.9,103.35,"18,278,602",57.73%,217.98,21.17%,-6.98%,43.96,14.4,"-1,846,848","7,384,975"
2023-03-23,"60,600","62,300","60,600","62,300",102.06,103.25,102.83,102.34,"15,381,057",59.00%,150.49,16.64%,0.00%,36.17,16.4,"891,469","4,046,654"
2023-03-22,"61,000","61,200","60,500","61,100",100.89,101.63,100.95,100.49,"8,978,591",51.65%,78.84,13.41%,-19.23%,28.81,20.63,"769,342","1,706,493"
2023-03-21,"60,500","60,700","60,100","60,300",100,100.43,99.55,99.23,"8,318,514",48.24%,5.41,12.93%,-53.57%,25.23,23.4,"458,186","-409,036"
2023-03-20,"61,100","61,200","60,200","60,200",100.27,100.2,99.18,99.12,"9,618,009",48.24%,20.9,14.34%,-57.14%,27.34,23.96,"195,908","-1,481,560"
2023-03-17,"60,800","61,300","60,600","61,300",102.17,101.81,100.8,100.98,"14,090,110",50.00%,84.82,15.54%,-17.86%,31.56,22.05,"127,839","3,210,358"
2023-03-16,"59,200","60,200","59,100","59,900",100.44,99.62,98.3,98.72,"10,611,939",36.00%,-73.46,15.20%,-75.00%,21.93,26.57,"-380,720","406,816"
2023-03-15,"60,000","60,300","59,600","59,800",100.2,99.3,97.95,98.57,"10,482,149",42.17%,-67.15,16.07%,-77.78%,25.49,23.51,"702,433","947,703"
2023-03-14,"59,400","59,500","59,000","59,000",98.7,97.84,96.37,97.26,"12,147,346",31.76%,-153.52,17.92%,-100.00%,18.32,28.18,"55,494","-1,770,132"
2023-03-13,"59,900","60,200","59,300","60,000",99.8,99.26,97.7,98.87,"12,779,724",33.33%,-112.29,17.41%,-75.68%,21.12,27.91,"996,395","425,309"
2023-03-10,"59,500","59,700","59,100","59,500",98.48,98.22,96.66,98.06,"11,902,471",29.87%,-164.69,17.96%,-89.74%,16.46,31.68,"-1,637,253","-558,291"
2023-03-09,"60,500","60,800","59,900","60,100",99.14,98.8,97.36,99.04,"14,334,499",28.05%,-103.89,15.86%,-94.12%,18.92,24.44,"2,306,833","-3,617,680"
2023-03-08,"60,100","60,500","59,900","60,300",99.24,98.97,97.45,99.37,"14,161,857",40.00%,-112.54,16.34%,-89.47%,17.02,27.68,"-3,298,016","1,559,111"
2023-03-07,"61,400","61,400","60,700","60,700",99.8,99.33,97.97,100.05,"11,473,280",37.62%,-67.92,15.18%,-86.49%,18.95,19.47,"-656,990","-635,844"
2023-03-06,"61,100","61,600","60,800","61,500",101.18,100.31,99.19,101.42,"13,630,602",42.71%,-47.4,17.31%,-64.86%,21.01,20.23,"2,266,416","1,279,476"
2023-03-03,"61,000","61,200","60,500","60,500",99.6,98.5,97.39,99.84,"10,711,405",36.78%,-101.04,19.68%,-91.89%,18.72,23.25,"-233,193","-1,000,161"
2023-03-02,"60,900","61,800","60,500","60,800",99.61,98.48,97.64,100.34,"13,095,682",37.21%,-95.11,21.05%,-83.78%,20.4,25.34,"-1,617,684","2,549,062"
2023-02-28,"60,800","61,400","60,500","60,600",99.18,97.93,97.24,100.02,"13,715,861",35.29%,-134.87,22.62%,-89.19%,18.65,29.63,"1,088,959","-368,728"
2023-02-27,"60,800","60,800","60,200","60,500",98.53,97.36,97.05,99.8,"11,155,697",42.71%,-211.12,22.60%,-91.89%,13.23,32.97,"-1,887,391","-933,244"
2023-02-24,"62,300","62,600","61,300","61,300",99.13,98.27,98.11,101.07,"10,308,143",48.35%,-111.76,19.51%,-89.66%,15.03,23.87,"-1,005,323","-4,781"
2023-02-23,"61,700","62,500","61,500","62,000",99.84,99.15,98.97,102.25,"13,047,099",41.51%,-81.97,19.01%,-65.52%,17.45,25.24,"1,259,108","689,225"
2023-02-22,"61,500","61,800","61,000","61,100",97.85,97.56,97.39,100.81,"11,959,088",38.00%,-203.05,19.13%,-96.67%,11.68,29.72,"-2,442,875","-224,186"
2023-02-21,"62,700","62,800","62,000","62,100",99.11,98.84,98.8,102.47,"7,665,046",51.40%,-89.52,15.37%,-79.17%,13.28,21.31,"-1,473,117","-53,019"
2023-02-20,"62,900","63,000","61,800","62,700",99.71,99.82,99.78,103.48,"12,908,073",57.80%,-44.54,14.17%,-43.33%,14.54,23.33,"546,521","-773,709"
2023-02-17,"62,900","63,300","62,400","62,600",99.49,99.84,99.71,103.36,"10,791,265",47.33%,6.03,12.78%,-46.67%,16.59,19.58,"-2,073,724","796,837"
2023-02-16,"62,500","63,700","62,400","63,700",101.18,101.4,101.64,105.23,"13,798,831",46.62%,60.52,13.48%,-30.77%,19.11,22.56,"2,733,282","1,588,180"
2023-02-15,"63,900","63,900","62,000","62,200",99.01,99.04,99.46,102.82,"13,208,103",43.20%,-20.38,14.28%,-70.00%,22.54,26.6,"-2,453,541","382,542"
2023-02-14,"63,600","63,900","63,200","63,200",100.32,100.7,101.15,104.49,"9,126,664",49.17%,48.41,15.21%,-45.00%,28.07,17.64,"1,348,181","398,796"
2023-02-13,"62,900","63,000","62,300","62,900",100.26,100.58,100.87,104.04,"10,730,362",54.14%,-22.45,14.03%,-52.50%,20.27,19.86,"-1,828,690","2,262,398"
2023-02-10,"62,600","63,000","62,400","62,800",100.51,100.35,100.9,103.88,"9,382,576",54.81%,-13.69,16.03%,-55.00%,21.95,20.32,"-2,217,379","1,762,578"
2023-02-09,"63,000","63,300","62,300","63,000",100.51,100.38,101.41,104.22,"12,164,865",59.03%,7.87,17.91%,-43.48%,23.39,21.65,"-1,289,172","1,554,466"
2023-02-08,"62,800","63,300","62,400","63,100",100.51,100.4,101.78,104.42,"12,243,125",57.05%,22.54,20.07%,-37.25%,25.83,22.87,"-683,561","2,983,508"
2023-02-07,"61,900","62,500","61,600","61,900",99.01,98.44,100.04,102.44,"14,491,039",52.90%,-28.35,22.22%,-60.78%,21.29,26.19,"-1,028,256","562,783"
