Date,Open,Higt,Low,Close,Volume,RSI,RSISignal,CCI,CCISignal,UpDI,DownDI,ADX,PDI,MDI,WilliamsR,WilliamsD,MACD,MACDSignal,MACDOscillator,Close5ma,Close10ma,Close20ma,Close60ma,INDNB,INSNB,FNB,Call,EX,SSR
2013-01-02,18357,18841,18277,18800,390867,0.5736,0.5546,127.25,17.83,28.76,18.22,0.2688,0.2876,0.1822,-0.0245,-0.1715,30.01,-42.01,72.02,103.21,103.72,103.87,101.01,-51826,26780,26276,2.77,1063.5,0.84
2013-01-03,19002,19042,18639,18881,406707,0.5834,0.5603,152.14,44.69,31.13,16.17,0.2752,0.3113,0.1617,-0.0859,-0.1287,82.76,-17.05,99.82,102.81,103.95,103.81,101.81,-26128,20523,6097,2.77,1061.5,0.55
2013-01-04,19062,20251,18942,20130,1310008,0.7107,0.5904,255.2,86.79,48.61,11.22,0.3218,0.4861,0.1122,-0.0392,-0.084,222.79,30.91,191.87,106.91,109.45,109.82,108.81,-110555,21664,87349,2.76,1063.6,3.05
2013-01-07,20533,20997,20130,20896,1379459,0.7656,0.6254,252.01,119.83,55.45,9.17,0.3744,0.5545,0.0917,-0.0264,-0.0552,391.06,102.94,288.12,107.64,111.84,113.06,113.1,-55927,-109140,166729,2.76,1063.7,3.48
2013-01-08,20574,20896,20453,20755,769437,0.7393,0.6482,175.54,130.98,50.06,8.28,0.42,0.5006,0.0828,-0.0632,-0.0592,507.19,183.79,323.4,104.34,109.44,111.54,112.37,-12787,-84458,96899,2.76,1063,2.63
2013-01-09,20755,20876,20392,20654,664252,0.7297,0.6645,128.89,130.56,44.59,8.75,0.4536,0.4459,0.0875,-0.0896,-0.0744,584.34,263.9,320.44,101.93,107.35,110.17,111.87,-7820,-62206,70639,2.77,1061.7,0.39
2013-01-10,20574,21017,20352,20957,384738,0.8566,0.7029,109.3,126.31,41.14,7.46,0.4855,0.4114,0.0746,-0.0156,-0.045,662.3,343.58,318.72,101.35,107.35,111.03,113.46,-21250,-3534,24689,2.76,1060.4,2.04
2013-01-11,21158,21239,20594,20816,516403,0.825,0.7273,95.11,120.07,40.19,6.4,0.5174,0.4019,0.064,-0.1039,-0.0744,704.58,415.78,288.8,100,105.01,109.59,112.73,-29800,-9988,37020,2.76,1054.7,7.53
2013-01-14,21057,21078,20554,20957,314295,0.8379,0.7495,80.39,112.13,35.48,6.55,0.5402,0.3548,0.0655,-0.0765,-0.0755,740.93,480.81,260.12,100.62,104.16,109.63,113.56,-6026,11035,-3408,2.75,1056.1,6.02
2013-01-15,21098,21098,20413,20513,327952,0.7654,0.7526,61.32,101.97,30.14,8.66,0.5421,0.3014,0.0866,-0.2035,-0.1395,725.54,529.76,195.78,98.72,100.87,106.74,111.24,7871,-27155,21427,2.76,1056.5,1.53
2013-01-16,20392,20775,20392,20614,109820,0.7595,0.754,50.02,91.58,27.48,8.38,0.5408,0.2748,0.0838,-0.1752,-0.1574,713.28,566.46,146.81,99.24,100.47,106.69,111.64,-5439,-5113,10552,2.75,1058.7,0.62
2013-01-17,20554,20755,20292,20735,178898,0.8193,0.7671,43.47,81.96,24.46,9.83,0.5256,0.2446,0.0983,-0.1413,-0.1493,705.19,594.21,110.98,100.04,100.16,106.7,112.13,-8308,-2963,11279,2.75,1058.1,0
2013-01-18,20856,20876,20433,20755,92327,0.8135,0.7764,44.81,74.53,24.77,8.77,0.5192,0.2477,0.0877,-0.1482,-0.1488,692.41,613.85,78.56,100.19,99.95,106.01,112.06,-7665,514,7301,2.75,1057.2,6.8
2013-01-21,20755,20856,20413,20695,250095,0.7843,0.7779,36.39,66.9,22.02,8.29,0.5103,0.2202,0.0829,-0.1837,-0.1662,669.73,625.02,44.7,100.16,99.76,104.97,111.53,-15068,-18386,33977,2.76,1062.9,2.18
2013-01-22,20755,20896,20675,20755,241088,0.7621,0.7748,51.66,63.85,21.79,7.8,0.5054,0.2179,0.078,-0.1862,-0.1762,649.1,629.84,19.26,100.21,100.05,104.53,111.64,-10549,-14993,25542,2.75,1062.3,7.15
2013-01-23,20856,21259,20554,21057,539425,0.7754,0.7749,132.08,77.5,27.16,6.39,0.5205,0.2716,0.0639,-0.0872,-0.1317,649.64,633.8,15.84,101.24,101.31,105.22,113.02,-1464,-37594,40568,2.75,1066.2,1.24
2013-01-24,21057,21138,20654,20755,318652,0.6041,0.7407,76.82,77.36,23.76,5.59,0.5337,0.2376,0.0559,-0.4464,-0.289,618.57,630.75,-12.18,99.77,99.95,103.04,111.16,-3781,-8749,12189,2.75,1068.7,1.7
2013-01-25,20816,20997,20574,20755,345524,0.4685,0.6863,21.54,66.2,21.09,7.08,0.5289,0.2109,0.0708,-0.5212,-0.4051,587.18,622.04,-34.86,99.77,99.98,102.29,110.92,-4722,9572,-4850,2.75,1074.5,1.82
2013-01-28,20574,20816,20554,20755,206475,0.5,0.649,-25.94,47.77,19.53,7.12,0.5204,0.1953,0.0712,-0.5212,-0.4632,555.89,608.81,-52.92,99.71,100.08,101.59,110.7,-6239,3437,3982,2.75,1093.5,3.68
2013-01-29,20654,20936,20554,20896,131918,0.5566,0.6306,29.31,44.08,20.85,6.33,0.5222,0.2085,0.0633,-0.3754,-0.4193,536.29,594.3,-58.02,100.25,100.57,101.65,111.25,-13889,5752,7937,2.75,1082.5,12.82
2013-01-30,20896,20957,20735,20957,303651,0.5,0.6044,83.01,51.87,20.06,5.89,0.5254,0.2006,0.0589,-0.3123,-0.3658,519.69,579.38,-59.69,100.64,100.7,101.42,111.36,-1876,13265,-11889,2.75,1085.45,6.24
2013-01-31,20957,21057,20574,20574,174050,0.4434,0.5722,-13.66,38.76,17.08,9.96,0.4905,0.1708,0.0996,-0.7084,-0.5371,470.2,557.54,-87.34,98.97,98.94,99.16,109.14,-1383,9448,-8065,2.76,1089,14.11
2013-02-01,20614,21178,20574,21158,371955,0.539,0.5656,143.87,59.78,17.6,8.2,0.4736,0.176,0.082,-0.1044,-0.3208,472.66,540.57,-67.91,101.39,101.55,101.72,112,-17893,-15800,33693,2.75,1097.4,0.64
2013-02-04,21279,21601,21158,21299,178347,0.6727,0.587,262.86,100.4,27.71,7.14,0.4892,0.2771,0.0714,-0.2307,-0.2757,480.45,528.55,-48.09,101.54,101.93,102.3,112.46,-6212,574,5683,2.75,1084.6,1.15
2013-02-05,21219,21219,20574,21017,256358,0.582,0.586,50.78,90.47,22.26,21.59,0.426,0.2226,0.2159,-0.4461,-0.3609,458.58,514.55,-55.97,100.08,100.45,100.88,110.69,-13253,8795,4462,2.73,1087,10.15
2013-02-06,21078,21823,20856,21823,478053,0.6731,0.6034,229.62,118.3,31.6,16.57,0.4108,0.316,0.1657,0,-0.1805,500.52,511.75,-11.23,103.06,103.92,104.46,114.54,-46006,-4063,50569,2.72,1087.85,4.16
2013-02-07,21823,22085,21662,21662,473319,0.6381,0.6104,223.56,139.36,34.79,14.83,0.4097,0.3479,0.1483,-0.253,-0.2167,514.83,512.36,2.47,101.26,102.71,103.51,113.27,-16901,-22596,39613,2.74,1088.2,4.95
2013-02-08,21682,22045,21682,21863,382341,0.6706,0.6224,164.84,144.45,31.35,13.36,0.4087,0.3135,0.1336,-0.145,-0.1809,536.21,517.13,19.08,101.53,103.13,104.21,113.86,-10300,-1523,12699,2.74,1095.7,12.25
2013-02-12,21944,21964,21682,21884,145803,0.6668,0.6313,123.3,140.22,28.92,12.33,0.4078,0.2892,0.1233,-0.1313,-0.1561,548.52,523.41,25.11,101.08,102.68,104.08,113.51,-6975,-1667,10193,2.75,1090.8,3.32
2013-02-13,21944,22266,21884,22105,524110,0.6586,0.6367,129.2,138.02,34.33,11,0.4221,0.3433,0.11,-0.094,-0.1251,569.55,532.64,36.91,101.09,103.13,104.73,114.14,-12693,-41466,56338,2.75,1086.8,2.15
2013-02-14,21863,22065,20554,20755,1380173,0.5,0.6094,-18.12,106.79,22.8,36.11,0.396,0.228,0.3611,-0.8826,-0.5038,471.84,520.48,-48.64,95.85,96.92,98.31,106.83,71289,-15920,-57031,2.75,1083.8,6.36
2013-02-15,20936,20936,19969,19969,1540234,0.4235,0.5722,-133.13,58.81,18.36,40.86,0.3938,0.1836,0.4086,-1,-0.7519,327.21,481.82,-154.62,93.68,93.52,94.75,102.51,56270,-62620,-51254,2.75,1078.3,11.72
2013-02-18,19969,20050,19607,19848,568351,0.4138,0.5405,-170.53,12.94,16.65,44.67,0.4022,0.1665,0.4467,-0.9094,-0.8306,200.51,425.56,-225.05,94.91,93.52,94.38,101.66,4298,20884,-25182,2.74,1082.1,12.69
2013-02-19,19707,19949,19425,19627,865357,0.3812,0.5087,-157.91,-21.23,14.77,43.55,0.4144,0.1477,0.4355,-0.9289,-0.8798,81.33,356.72,-275.38,95.92,93.22,93.57,100.36,41821,23004,-65430,2.75,1081.2,7.82
2013-02-20,19627,19808,19465,19647,791034,0.3764,0.4822,-131.17,-43.22,13.61,40.13,0.425,0.1361,0.4013,-0.9219,-0.9008,-11.37,283.1,-294.47,98.39,93.92,93.91,100.28,53435,23542,-80444,2.75,1078.5,1.48
2013-02-21,19566,19647,19264,19465,580231,0.3912,0.464,-120.33,-58.64,12.35,41.26,0.4402,0.1235,0.4126,-0.933,-0.9169,-98.39,206.8,-305.19,98.75,94.11,93.4,99.19,22232,15253,-38379,2.76,1086.05,1.94
2013-02-22,19506,19627,19405,19566,489204,0.3275,0.4367,-93.04,-65.52,11.64,38.87,0.4534,0.1164,0.3887,-0.8994,-0.9082,-157.39,133.96,-291.35,99.67,95.57,94.15,99.55,32208,21919,-53123,2.75,1084.7,1.29
2013-02-25,19627,19707,19465,19465,350601,0.2995,0.4093,-78.3,-68.08,13.09,36.23,0.4555,0.1309,0.3623,-0.933,-0.9206,-209.88,65.19,-275.07,99.54,96.2,93.96,98.92,11901,11728,-23629,2.76,1086.3,6.21
2013-02-26,19365,19506,19022,19284,563567,0.3063,0.3887,-83.88,-71.24,11.32,43.72,0.4732,0.1132,0.4372,-0.9192,-0.9199,-263.05,-0.45,-262.6,98.97,96.55,93.42,97.88,24726,22687,-45410,2.75,1088,2.44
2013-02-27,19345,19385,19143,19284,488058,0.1538,0.3417,-75.13,-72.02,10.5,40.55,0.4886,0.105,0.4055,-0.9192,-0.9196,-301.71,-60.71,-241,99.34,97.93,93.78,97.78,21188,22077,-43264,2.75,1084.4,4.19
2013-02-28,19405,19486,19244,19264,375820,0.16,0.3053,-64.93,-70.6,12.91,37.42,0.4884,0.1291,0.3742,-0.9254,-0.9225,-330.16,-114.6,-215.56,99.44,98.58,94.07,97.55,20405,12545,-32930,2.76,1083,0.7
2013-03-04,19203,19405,19062,19062,800671,0.1029,0.2649,-72.65,-71.01,11.46,39.18,0.4963,0.1146,0.3918,-0.9877,-0.9551,-364.8,-164.64,-200.16,98.91,98,93.43,96.37,17761,11762,-29427,2.76,1093.2,15.76
2013-03-05,19244,19345,19103,19143,436711,0.1179,0.2355,-70.97,-71,10.36,35.4,0.5031,0.1036,0.354,-0.9627,-0.9589,-381.32,-207.97,-173.34,99.66,98.77,94.29,96.63,17901,12571,-31827,2.74,1087,5.65
2013-03-06,19264,19284,19022,19062,633434,0.0586,0.2001,-88.7,-74.54,9.39,34.98,0.5129,0.0939,0.3498,-0.9869,-0.9729,-396.37,-245.65,-150.72,99.47,98.64,94.41,96.12,30455,-30463,5228,2.74,1082.6,2.86
2013-03-07,18962,19103,18942,19022,206619,0.0945,0.179,-112.66,-82.17,8.81,35.89,0.5253,0.0881,0.3589,-0.9599,-0.9664,-406.85,-277.89,-128.96,99.54,98.76,94.68,95.86,-11229,11163,64,2.76,1087.1,0.02
2013-03-08,19062,19143,18780,18800,327525,0.1284,0.1689,-135.22,-92.78,7.58,37.11,0.5434,0.0758,0.3711,-0.9843,-0.9753,-428.12,-307.94,-120.19,98.85,97.94,94.29,94.66,2778,525,-2864,2.75,1090.3,0.01
2013-03-11,18780,18921,18458,18700,286728,0.1302,0.1611,-177.03,-109.63,6.29,42.62,0.5699,0.0629,0.4262,-0.8377,-0.9065,-447.89,-335.93,-111.96,98.7,97.86,94.49,94.14,-11362,10000,1261,2.75,1094.8,0.01
